Filename,Label,Confidence
80x40_bad.png,good,0.6629
78x40_good.png,good,0.8876
94Ax40_good.png,good,0.9846
85Ox40_bad.png,bad,0.0359
94Dx40_good.png,good,0.9346
99Gx40_good.png,good,0.9184
84Fx40_bad.png,good,0.9295
69Jx40_good.png,good,0.9437
82Dx40_bad.png,good,0.7090
90Fx40_good.png,bad,0.5222
84Xx40_bad.png,good,0.7221
44Ix40_bad.png,good,0.8833
98Fx40_bad.png,good,0.9873
26Jx40_bad.png,bad,0.0257
74Bx40_bad.png,good,0.7673
16Bx40_good.png,good,0.9223
85Jx40_bad.png,good,0.9526
39down3x40_bad.png,good,0.9547
65Ex40_good.png,good,0.9426
48Ax40_bad.png,bad,0.6140
95Hx40_good.png,good,0.9809
107Tx40_good.png,good,0.8755
84Kx40_bad.png,bad,0.4553
75Cx40_bad.png,bad,0.3093
69Cx40_good.png,good,0.9921
96Cx40_good.png,bad,0.0436
99Nx40_good.png,bad,0.4706
67Bx40_good.png,bad,0.4331
83Ex40_bad.png,good,0.8801
60Bx40_good.png,bad,0.2313
108Fx40_good.png,good,0.9071
95Ax40_good.png,good,0.9421
102Ex40_good.png,bad,0.0117
20Ex40_bad.png,good,0.7389
92Ax40_good.png,good,0.8264
99Qx40_good.png,good,0.9167
47Cx40_bad.png,good,0.9848
32Fx40_bad.png,bad,0.5624
84Ux40_bad.png,good,0.9819
44Dx40_bad.png,good,0.9579
17Bx40_good.png,good,0.9785
75Fx40_bad.png,good,0.6993
69Fx40_good.png,good,0.8310
88Fx40_bad.png,good,0.9123
15up4x40_good.png,bad,0.5316
94Hx40_good.png,bad,0.0186
31Ex40_good.png,bad,0.0410
84Nx40_bad.png,good,0.7936
26Bx40_bad.png,good,0.6865
50Bx40_good.png,good,0.9459
32Cx40_bad.png,bad,0.0450
84Px40_bad.png,bad,0.3116
44Ax40_bad.png,good,0.9870
47Fx40_bad.png,good,0.9684
95Dx40_good.png,bad,0.0001
108Cx40_good.png,good,0.9500
86Ex40_bad.png,bad,0.3721
85Bx40_bad.png,good,0.8998
84Cx40_bad.png,bad,0.6190
82Ax40_bad.png,good,0.8525
99Bx40_good.png,good,0.9575
66Bx40_good.png,bad,0.0755
93Ax40_good.png,good,0.9168
85Qx40_bad.png,good,0.8976
80x40_bad.png,bad,0.3612
78x40_good.png,bad,0.0640
94Ax40_good.png,good,0.9566
85Ox40_bad.png,good,0.9722
94Dx40_good.png,good,0.9621
99Gx40_good.png,good,0.7392
84Fx40_bad.png,bad,0.5155
69Jx40_good.png,bad,0.0464
82Dx40_bad.png,bad,0.5139
90Fx40_good.png,bad,0.5609
84Xx40_bad.png,good,0.9908
44Ix40_bad.png,bad,0.1054
98Fx40_bad.png,good,0.7801
26Jx40_bad.png,good,0.9761
74Bx40_bad.png,bad,0.1505
16Bx40_good.png,good,0.9820
85Jx40_bad.png,good,0.9769
39down3x40_bad.png,bad,0.5638
65Ex40_good.png,bad,0.0002
48Ax40_bad.png,good,0.8451
95Hx40_good.png,good,0.6821
107Tx40_good.png,good,0.8834
84Kx40_bad.png,good,0.9781
75Cx40_bad.png,bad,0.3767
69Cx40_good.png,good,0.7948
96Cx40_good.png,bad,0.6138
99Nx40_good.png,bad,0.3292
67Bx40_good.png,good,0.9205
83Ex40_bad.png,good,0.9335
60Bx40_good.png,bad,0.1165
108Fx40_good.png,bad,0.1198
95Ax40_good.png,bad,0.1095
102Ex40_good.png,good,0.7483
20Ex40_bad.png,good,0.9783
92Ax40_good.png,good,0.9013
99Qx40_good.png,good,0.8158
47Cx40_bad.png,bad,0.2767
32Fx40_bad.png,good,0.8310
84Ux40_bad.png,bad,0.4943
44Dx40_bad.png,good,0.9228
17Bx40_good.png,good,0.7272
75Fx40_bad.png,good,0.9430
69Fx40_good.png,bad,0.0213
88Fx40_bad.png,good,0.7589
15up4x40_good.png,bad,0.0244
94Hx40_good.png,good,0.9331
31Ex40_good.png,good,0.9633
84Nx40_bad.png,good,0.8506
26Bx40_bad.png,good,0.9569
50Bx40_good.png,bad,0.0050
32Cx40_bad.png,good,0.9916
84Px40_bad.png,good,0.9182
44Ax40_bad.png,bad,0.1386
47Fx40_bad.png,good,0.9524
95Dx40_good.png,bad,0.2434
108Cx40_good.png,good,0.8722
86Ex40_bad.png,good,0.9693
85Bx40_bad.png,good,0.7568
84Cx40_bad.png,good,0.9136
82Ax40_bad.png,good,0.9332
99Bx40_good.png,bad,0.0709
66Bx40_good.png,good,0.9016
93Ax40_good.png,bad,0.0206
85Qx40_bad.png,good,0.7760
80x40_bad.png,bad,0.0000
78x40_good.png,bad,0.5038
94Ax40_good.png,good,0.9544
85Ox40_bad.png,good,0.7077
94Dx40_good.png,good,0.9357
99Gx40_good.png,bad,0.4040
84Fx40_bad.png,good,0.6995
69Jx40_good.png,good,0.8621
82Dx40_bad.png,good,0.9312
90Fx40_good.png,good,0.8290
84Xx40_bad.png,good,0.9176
44Ix40_bad.png,good,0.6996
98Fx40_bad.png,bad,0.1853
26Jx40_bad.png,bad,0.0025
74Bx40_bad.png,good,0.9467
16Bx40_good.png,bad,0.0992
85Jx40_bad.png,bad,0.0418
39down3x40_bad.png,bad,0.2000
65Ex40_good.png,good,0.9312
48Ax40_bad.png,good,0.7566
95Hx40_good.png,bad,0.0354
107Tx40_good.png,good,0.7329
84Kx40_bad.png,good,0.9841
75Cx40_bad.png,bad,0.1535
69Cx40_good.png,good,0.9730
96Cx40_good.png,bad,0.2268
99Nx40_good.png,good,0.6899
67Bx40_good.png,good,0.7232
83Ex40_bad.png,good,0.9230
60Bx40_good.png,bad,0.0402
108Fx40_good.png,good,0.6691
95Ax40_good.png,bad,0.6056
102Ex40_good.png,bad,0.0417
20Ex40_bad.png,bad,0.0000
92Ax40_good.png,bad,0.0005
99Qx40_good.png,good,0.9684
47Cx40_bad.png,good,0.9515
32Fx40_bad.png,good,0.8443
84Ux40_bad.png,good,0.9374
44Dx40_bad.png,good,0.9125
17Bx40_good.png,good,0.8213
75Fx40_bad.png,bad,0.0609
69Fx40_good.png,good,0.9036
88Fx40_bad.png,good,0.9067
15up4x40_good.png,good,0.9682
94Hx40_good.png,bad,0.0560
31Ex40_good.png,good,0.9806
84Nx40_bad.png,good,0.9724
26Bx40_bad.png,good,0.9346
50Bx40_good.png,bad,0.0563
32Cx40_bad.png,good,0.9919
84Px40_bad.png,good,0.9656
44Ax40_bad.png,bad,0.0009
47Fx40_bad.png,bad,0.1386
95Dx40_good.png,good,0.8734
108Cx40_good.png,bad,0.5856
86Ex40_bad.png,good,0.9802
85Bx40_bad.png,good,0.8758
84Cx40_bad.png,bad,0.0060
82Ax40_bad.png,good,0.9579
99Bx40_good.png,good,0.9754
66Bx40_good.png,good,0.9524
93Ax40_good.png,good,0.9669
85Qx40_bad.png,bad,0.4847
80x40_bad.png,good,0.9228
78x40_good.png,good,0.7043
94Ax40_good.png,good,0.9701
85Ox40_bad.png,good,0.8252
94Dx40_good.png,good,0.9084
99Gx40_good.png,bad,0.0893
84Fx40_bad.png,good,0.9825
69Jx40_good.png,bad,0.1375
82Dx40_bad.png,bad,0.1841
90Fx40_good.png,good,0.7513
84Xx40_bad.png,bad,0.2828
44Ix40_bad.png,bad,0.5236
98Fx40_bad.png,good,0.9701
26Jx40_bad.png,good,0.6651
74Bx40_bad.png,good,0.8896
16Bx40_good.png,bad,0.5172
85Jx40_bad.png,good,0.9574
